"x"
"nom"
"UMO exploitant"
"UMO salarie"
"UMOlait"
"Dt ben."
"Dt UMO remun."
"dt  sal."
"prix_lait"
"aides"
"annuites"
"EBE/PB"
"Dispo/UMOexpl."
"Lait par UMOlait"
"Remun/umolait"
"Remun/umoexpl_lait"
